x_m,y_m,w_tr_left_m,w_tr_right_m
-957.471197,-800.8931,4.647316,4.647316
-952.665264,-801.689,4.696309,4.696309
-947.862464,-802.5041,4.725747,4.725747
-943.06704,-803.3648,4.70914,4.70914
-938.271615,-804.2254,4.692533,4.692533
-933.529985,-805.0886,4.688139,4.688139
-928.740959,-805.9844,4.690325,4.690325
-923.953392,-806.8881,4.6845,4.6845
-919.165826,-807.7918,4.678675,4.678675
-914.37826,-808.6955,4.672851,4.672851
-909.588427,-809.5871,4.679398,4.679398
-904.798228,-810.4767,4.687946,4.687946
-900.013829,-811.3679,4.699182,4.699182
-895.224765,-812.2634,4.707248,4.707248
-890.43909,-813.177,4.696996,4.696996
-885.653415,-814.0905,4.686744,4.686744
-880.867739,-815.0041,4.676491,4.676491
-876.093204,-815.9173,4.668213,4.668213
-871.305172,-816.8182,4.682265,4.682265
-866.517139,-817.7192,4.696317,4.696317
-861.729106,-818.6201,4.710369,4.710369
-856.941061,-819.521,4.724487,4.724487
-852.140699,-820.4226,4.73748,4.73748
-847.351409,-821.317,4.745561,4.745561
-842.562119,-822.2115,4.753642,4.753642
-837.77227,-823.1024,4.765373,4.765373
-832.973301,-823.9344,4.836631,4.836631
-828.174331,-824.7664,4.907888,4.907888
-823.29667,-825.5921,4.958975,4.958975
-818.484183,-826.3357,5.044848,5.044848
-813.114198,-827.046,5.197501,5.197501
-808.255462,-827.1524,5.396617,5.396617
-802.839231,-826.8703,5.569988,5.569988
-797.266234,-825.7989,5.687086,5.687086
-791.770289,-823.9636,5.722134,5.722134
-786.486774,-821.5166,6.010895,6.010895
-782.313946,-819.0215,6.113206,6.113206
-777.548028,-815.7652,6.179185,6.179185
-773.301558,-812.0006,6.147491,6.147491
-769.653029,-808.0819,6.200857,6.200857
-766.237131,-803.8416,6.025758,6.025758
-763.298797,-799.135,5.963141,5.963141
-760.849677,-794.9404,5.743798,5.743798
-758.710349,-791.0932,5.679135,5.679135
-756.256458,-786.8952,5.854799,5.854799
-753.589303,-781.8645,5.822346,5.822346
-751.484914,-777.4755,5.711165,5.711165
-749.415033,-773.0667,5.639608,5.639608
-747.355723,-768.744,5.594463,5.594463
-745.259058,-764.3463,5.565983,5.565983
-743.163825,-759.948,5.539104,5.539104
-741.052454,-755.506,5.508452,5.508452
-739.000857,-751.087,5.48877,5.48877
-736.952855,-746.6663,5.473093,5.473093
-734.893369,-742.1906,5.445135,5.445135
-732.914269,-737.7386,5.456038,5.456038
-730.937894,-733.2854,5.469941,5.469941
-728.758983,-728.0994,5.421888,5.421888
-727.164161,-723.5219,5.161244,5.161244
-725.86438,-718.8929,4.890848,4.890848
-724.3721,-714.2574,4.803212,4.803212
